"","label_name","GPSLongitude","GPSLatitude"
"300","Coarse sand (with shell fragments)",-65.8063776232302,-45.0195285771042
"301","Coarse sand (with shell fragments)",-65.8063100650907,-45.0194700714201
"302","Coarse sand (with shell fragments)",-65.806234208867,-45.0194234680384
"303","Coarse sand (with shell fragments)",-65.8099786564708,-45.0216116476804
"304","Coarse sand (with shell fragments)",-65.8095903228968,-45.0213713385165
"305","Coarse sand (with shell fragments)",-65.8092879876494,-45.0212314445525
"306","Gravel (2-10mm)",-65.8053758181632,-45.0186621397734
"307","Rock",-65.805237935856,-45.0185240898281
"308","Rock",-65.8051781728864,-45.0184699427336
"309","Coarse sand (with shell fragments)",-65.8086850773543,-45.0208869483322
"310","Coarse sand (with shell fragments)",-65.8085228875279,-45.0207955855876
"311","Coarse sand (with shell fragments)",-65.8083286788315,-45.0206844415516
"312","Gravel (2-10mm)",-65.8082090690732,-45.0206156261265
"313","Gravel (2-10mm)",-65.8081691712141,-45.0205936655402
"314","Gravel (2-10mm)",-65.8081244956702,-45.0205733813345
"315","Gravel (2-10mm)",-65.8080825023353,-45.0205522589386
"316","Gravel (2-10mm)",-65.8080428559333,-45.0205306336284
"317","Gravel (2-10mm)",-65.8079979289323,-45.0205125287175
"318","Rock",-65.8079150319099,-45.0204733852297
"319","Rock",-65.8078319672495,-45.020431894809
"320","Rock",-65.8077933266759,-45.0204090122133
"321","Rock",-65.8077045623213,-45.020368527621
"322","Rock",-65.80766399391,-45.0203474890441
"323","Coarse sand (with shell fragments)",-65.8075808454305,-45.0203045736998
"324","Rock",-65.8075406122953,-45.020281104371
"325","Rock",-65.8074609842151,-45.020239027217
"326","Rock",-65.8074222598225,-45.0202181562781
"327","Coarse sand (with shell fragments)",-65.807344391942,-45.0201744865626
"328","Rock",-65.8072289731354,-45.0200998876244
"329","Rock",-65.8071879018098,-45.0200780108571
"330","Coarse sand (with shell fragments)",-65.8061239868402,-45.0193442590535
"331","Coarse sand (with shell fragments)",-65.8059790637344,-45.0192430894822
"332","Coarse sand (with shell fragments)",-65.8058358170092,-45.0191461946815
"333","Gravel (2-10mm)",-65.8056118525565,-45.0189467892051
"334","Gravel (2-10mm)",-65.8057027962059,-45.0190317817032
"335","Gravel (2-10mm)",-65.805552424863,-45.0188873615116
"336","Gravel (2-10mm)",-65.8054762333632,-45.0187915563583
"337","Gravel (2-10mm)",-65.8053210005164,-45.0186042208225
"338","Rock",-65.8047847263515,-45.0192350428551
"339","Gravel (2-10mm)",-65.8052271232009,-45.0195607636124
"340","Rock",-65.8049304038286,-45.0193284172565
"341","Rock",-65.8048532065004,-45.0192810595036
"342","Coarse sand (with shell fragments)",-65.811377260834,-45.0240563973784
"343","Coarse sand (with shell fragments)",-65.8079051412642,-45.0219518691301
"344","Coarse sand (with shell fragments)",-65.8080144412816,-45.0220231991261
"345","Coarse sand (with shell fragments)",-65.8082119189203,-45.0221780966967
"346","Coarse sand (with shell fragments)",-65.8083189558238,-45.0222460739315
"347","Coarse sand (with shell fragments)",-65.8083952311426,-45.0222852174193
"348","Coarse sand (with shell fragments)",-65.8084949757904,-45.0223557092249
"349","Coarse sand (with shell fragments)",-65.808583907783,-45.0224267039448
"350","Coarse sand (with shell fragments)",-65.8118171431124,-45.0243286415935
"351","Coarse sand (with shell fragments)",-65.8119671791792,-45.0244060903788
"352","Coarse sand (with shell fragments)",-65.8109205309302,-45.0237476918846
"353","Coarse sand (with shell fragments)",-65.8064259029925,-45.0207156222314
"354","Rock",-65.8041361346841,-45.018928097561
"355","Rock",-65.8041786309332,-45.0189323723316
"356","Coarse sand (with shell fragments)",-65.8078745473176,-45.0219261366874
"357","Coarse sand (with shell fragments)",-65.8109934534878,-45.023785661906
"358","Coarse sand (with shell fragments)",-65.8111698925495,-45.0238943751901
"359","Coarse sand (with shell fragments)",-65.8103379048407,-45.0234390702099
"360","Gravel (2-10mm)",-65.8053598087281,-45.0197053514421
"361","Coarse sand (with shell fragments)",-65.8054089266807,-45.0197662878782
"362","Coarse sand (with shell fragments)",-65.8080832567066,-45.0220717303455
"363","Coarse sand (with shell fragments)",-65.8081485517323,-45.0221235305071
"364","Coarse sand (with shell fragments)",-65.8115426357836,-45.0241679605097
"365","Coarse sand (with shell fragments)",-65.8056279458106,-45.0200060103089
