video_annotation_label_id,label_id,label_name,label_hierarchy,user_id,firstname,lastname,video_id,video_filename,shape_id,shape_name,points,frames,annotation_id,created_at
321140,149486,Gracilaria,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria",508,Gonzalo,Bravo,4981,www.biigle.proyectosub.org/0496_GT.MP4,1,Point,"[[738.01,973.8]]",[318.990274],274108,"2021-03-23 19:28:59"
321141,149486,Gracilaria,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria",508,Gonzalo,Bravo,4981,www.biigle.proyectosub.org/0496_GT.MP4,1,Point,"[[545.32,656.19]]",[319.759638],274109,"2021-03-23 19:29:06"
321143,149332,Rock,"Physical > Substrate > Consolidated (hard) > Rock",508,Gonzalo,Bravo,4981,www.biigle.proyectosub.org/0496_GT.MP4,1,Point,"[[1020.34,589.56]]",[343.30122],274111,"2021-03-23 19:30:20"
321145,149486,Gracilaria,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria",508,Gonzalo,Bravo,4981,www.biigle.proyectosub.org/0496_GT.MP4,1,Point,"[[883.05,945.31]]",[342.379627],274113,"2021-03-23 19:31:25"
321146,149332,Rock,"Physical > Substrate > Consolidated (hard) > Rock",508,Gonzalo,Bravo,4981,www.biigle.proyectosub.org/0496_GT.MP4,1,Point,"[[570.36,746.9]]",[355.429884],274114,"2021-03-23 19:31:53"
326660,149170,"Coarse sand (with shell fragments)","Physical > Substrate > Unconsolidated (soft) > Sand / mud (<2mm) > Coarse sand (with shell fragments)",508,Gonzalo,Bravo,5170,www.biigle.proyectosub.org/0007_GB.MP4,1,Point,"[[832.78,617.12]]",[1.305663],279157,"2021-04-10 17:08:20"
326661,149486,Gracilaria,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria",508,Gonzalo,Bravo,5170,www.biigle.proyectosub.org/0007_GB.MP4,1,Point,"[[1093.99,741.43]]",[14.03],279158,"2021-04-10 22:40:02"
326662,149460,"Leurocyclus tuberculosus","Biota > Crustacea > Crabs > True crabs > Leurocyclus tuberculosus",508,Gonzalo,Bravo,5170,www.biigle.proyectosub.org/0007_GB.MP4,1,Point,"[[1198.78,531.59]]",[14.03],279159,"2021-04-10 22:40:13"
326663,149486,Gracilaria,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria",508,Gonzalo,Bravo,5170,www.biigle.proyectosub.org/0007_GB.MP4,1,Point,"[[368.39,523.56]]",[25.057845],279160,"2021-04-10 22:40:37"
326664,149486,Gracilaria,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria",508,Gonzalo,Bravo,5170,www.biigle.proyectosub.org/0007_GB.MP4,1,Point,"[[885.91,498.9]]",[30.665122],279161,"2021-04-10 22:40:48"
326665,149170,"Coarse sand (with shell fragments)","Physical > Substrate > Unconsolidated (soft) > Sand / mud (<2mm) > Coarse sand (with shell fragments)",508,Gonzalo,Bravo,5170,www.biigle.proyectosub.org/0007_GB.MP4,1,Point,"[[1033.99,434.58]]",[32.654855],279162,"2021-04-10 22:40:55"
326666,149486,Gracilaria,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria",508,Gonzalo,Bravo,5170,www.biigle.proyectosub.org/0007_GB.MP4,1,Point,"[[188.67,659.34]]",[35.94033],279163,"2021-04-10 22:41:04"
326667,149460,"Leurocyclus tuberculosus","Biota > Crustacea > Crabs > True crabs > Leurocyclus tuberculosus",508,Gonzalo,Bravo,5170,www.biigle.proyectosub.org/0007_GB.MP4,1,Point,"[[565.4,915.42]]",[40.278212],279164,"2021-04-10 22:41:13"
326668,149460,"Leurocyclus tuberculosus","Biota > Crustacea > Crabs > True crabs > Leurocyclus tuberculosus",508,Gonzalo,Bravo,5170,www.biigle.proyectosub.org/0007_GB.MP4,1,Point,"[[1497.83,527.78]]",[44.669305],279165,"2021-04-10 22:41:23"
326669,149459,"Carcinus maenas","Biota > Crustacea > Crabs > True crabs > Carcinus maenas",508,Gonzalo,Bravo,5170,www.biigle.proyectosub.org/0007_GB.MP4,1,Point,"[[1439.53,573.94]]",[45.796036],279166,"2021-04-10 22:41:36"
326670,149170,"Coarse sand (with shell fragments)","Physical > Substrate > Unconsolidated (soft) > Sand / mud (<2mm) > Coarse sand (with shell fragments)",508,Gonzalo,Bravo,5170,www.biigle.proyectosub.org/0007_GB.MP4,1,Point,"[[975.23,601.38]]",[55.338311],279167,"2021-04-10 22:41:56"
326671,149486,Gracilaria,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria",508,Gonzalo,Bravo,5170,www.biigle.proyectosub.org/0007_GB.MP4,1,Point,"[[1070.73,609.79]]",[60.125448],279168,"2021-04-10 22:42:03"
326672,149486,Gracilaria,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria",508,Gonzalo,Bravo,5170,www.biigle.proyectosub.org/0007_GB.MP4,1,Point,"[[1576.23,457.32]]",[67.409077],279169,"2021-04-10 22:42:13"
326673,149170,"Coarse sand (with shell fragments)","Physical > Substrate > Unconsolidated (soft) > Sand / mud (<2mm) > Coarse sand (with shell fragments)",508,Gonzalo,Bravo,5170,www.biigle.proyectosub.org/0007_GB.MP4,1,Point,"[[1039.39,392.33]]",[79.684739],279170,"2021-04-10 22:44:26"
326674,149486,Gracilaria,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria",508,Gonzalo,Bravo,5170,www.biigle.proyectosub.org/0007_GB.MP4,1,Point,"[[794.05,515.93]]",[87.58917],279171,"2021-04-10 22:44:39"
326675,149486,Gracilaria,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria",508,Gonzalo,Bravo,5170,www.biigle.proyectosub.org/0007_GB.MP4,1,Point,"[[1517.84,438.85]]",[93.749513],279172,"2021-04-10 22:44:48"
326676,149170,"Coarse sand (with shell fragments)","Physical > Substrate > Unconsolidated (soft) > Sand / mud (<2mm) > Coarse sand (with shell fragments)",508,Gonzalo,Bravo,5170,www.biigle.proyectosub.org/0007_GB.MP4,1,Point,"[[890.55,457.18]]",[110.421542],279173,"2021-04-10 22:45:11"
326677,149170,"Coarse sand (with shell fragments)","Physical > Substrate > Unconsolidated (soft) > Sand / mud (<2mm) > Coarse sand (with shell fragments)",508,Gonzalo,Bravo,5170,www.biigle.proyectosub.org/0007_GB.MP4,1,Point,"[[985.24,626.12]]",[135.518434],279174,"2021-04-10 22:46:31"
326678,149486,Gracilaria,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria",508,Gonzalo,Bravo,5170,www.biigle.proyectosub.org/0007_GB.MP4,1,Point,"[[1659.87,650.04]]",[153.333433],279175,"2021-04-10 22:46:56"
326679,149170,"Coarse sand (with shell fragments)","Physical > Substrate > Unconsolidated (soft) > Sand / mud (<2mm) > Coarse sand (with shell fragments)",508,Gonzalo,Bravo,5170,www.biigle.proyectosub.org/0007_GB.MP4,1,Point,"[[1093.37,417.16]]",[161.105361],279176,"2021-04-10 22:47:11"
326680,149486,Gracilaria,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria",508,Gonzalo,Bravo,5170,www.biigle.proyectosub.org/0007_GB.MP4,1,Point,"[[1725.94,792.92]]",[190.797387],279177,"2021-04-10 22:47:51"
326681,149170,"Coarse sand (with shell fragments)","Physical > Substrate > Unconsolidated (soft) > Sand / mud (<2mm) > Coarse sand (with shell fragments)",508,Gonzalo,Bravo,5170,www.biigle.proyectosub.org/0007_GB.MP4,1,Point,"[[698.2,394.07]]",[190.797387],279178,"2021-04-10 22:47:56"
326682,155712,"Antholoba achates","Biota > Cnidaria > True anemones > Other anemones > Antholoba achates",508,Gonzalo,Bravo,5170,www.biigle.proyectosub.org/0007_GB.MP4,1,Point,"[[921.64,480.26]]",[195.986917],279179,"2021-04-10 22:48:17"
326683,149486,Gracilaria,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria",508,Gonzalo,Bravo,5170,www.biigle.proyectosub.org/0007_GB.MP4,1,Point,"[[354.38,582.83]]",[198.202205],279180,"2021-04-10 22:48:26"
326684,149460,"Leurocyclus tuberculosus","Biota > Crustacea > Crabs > True crabs > Leurocyclus tuberculosus",508,Gonzalo,Bravo,5170,www.biigle.proyectosub.org/0007_GB.MP4,1,Point,"[[1032.36,668.53]]",[206.025741],279181,"2021-04-10 22:48:47"
326685,149486,Gracilaria,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria",508,Gonzalo,Bravo,5170,www.biigle.proyectosub.org/0007_GB.MP4,1,Point,"[[1554.4,391.92]]",[212.327806],279182,"2021-04-10 22:49:02"
326686,149486,Gracilaria,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria",508,Gonzalo,Bravo,5170,www.biigle.proyectosub.org/0007_GB.MP4,1,Point,"[[1534.01,681.93]]",[221.705008],279183,"2021-04-10 22:49:15"
326687,149486,Gracilaria,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria",508,Gonzalo,Bravo,5170,www.biigle.proyectosub.org/0007_GB.MP4,1,Point,"[[1329.89,332.78]]",[221.705008],279184,"2021-04-10 22:49:24"
326688,149170,"Coarse sand (with shell fragments)","Physical > Substrate > Unconsolidated (soft) > Sand / mud (<2mm) > Coarse sand (with shell fragments)",508,Gonzalo,Bravo,5170,www.biigle.proyectosub.org/0007_GB.MP4,1,Point,"[[997.37,310.9]]",[224.635198],279185,"2021-04-10 22:49:31"
326689,149486,Gracilaria,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria",508,Gonzalo,Bravo,5170,www.biigle.proyectosub.org/0007_GB.MP4,1,Point,"[[1210.44,480.51]]",[228.958656],279186,"2021-04-10 22:50:17"
326690,149486,Gracilaria,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria",508,Gonzalo,Bravo,5170,www.biigle.proyectosub.org/0007_GB.MP4,1,Point,"[[1407.81,406.62]]",[241.452839],279187,"2021-04-10 22:50:34"
326691,149486,Gracilaria,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria",508,Gonzalo,Bravo,5170,www.biigle.proyectosub.org/0007_GB.MP4,1,Point,"[[565.84,674.88]]",[245.110793],279188,"2021-04-10 22:50:42"
